SCENE_ID,REASON
LT05_024028_20030220,Cloud/Snow
LE07_024028_20030228,Cloud/Snow
LE07_024028_20040215,Cloud/Snow
LE07_024028_20041215,Cloud/Snow
LE07_024028_20050116,Cloud/Snow
LC08_024028_20181011,Cloud
LC09_024028_20230424,Cloud
LC08_024029_20170906,Cloud
LE07_024029_20171203,Cloud/Cirrus
LE07_024029_20190920,Cloud
LE07_024029_20211011,Cloud/Missing
LE07_024030_20170829,Cloud
LE07_024030_20180410,Cloud
LE07_024030_20181003,Cloud/Snow/Missing
LE07_024031_20170829,Cloud
LC08_024031_20180128,Cloud/Cirrus
LE07_024031_20180410,Cloud
LE07_024031_20180816,Cloud
LE07_024032_20160131,Cloud/Snow/Missing
LC08_024032_20161122,Cloud/Cirrus
LE07_024032_20180120,Cloud/Snow/Missing
LC08_024032_20200203,Cloud/Cirrus
LC08_024033_20140218,Cloud/Cirrus
LE07_024033_20180325,Cloud/Missing
LE07_024033_20180816,Cloud
LC08_024033_20180925,Cloud
LC08_024033_20200203,Cloud/Cirrus
LC08_024033_20200813,Cloud
LC09_024033_20211214,Cloud/Cirrus/Missing
LC09_024033_20220421,Cloud/Cirrus
LE07_024034_20160115,Cloud
LC08_024034_20200203,Cloud/Cirrus
LC08_024034_20210426,Cloud/Cirrus
LC08_024034_20221123,Cloud/Cirrus
LC08_024034_20240418,Cloud
LC08_024035_20180925,Cloud
LE07_024035_20210213,Cloud/Snow/Missing
LE07_024035_20211214,Cloud/Missing
LC08_024035_20221123,Cloud/Cirrus
LC08_024035_20240418,Cloud
LC08_024036_20180213,Cloud
LE07_024036_20180731,Cloud
LE07_024036_20190312,Cloud/Snow/Missing
LC09_024036_20221115,Cloud
LC08_024036_20231212,Cloud/Cirrus
LE07_024037_20160810,Cloud
LC08_024037_20170415,Cloud
LC08_024037_20171227,Cloud/Missing
LE07_024037_20180120,Cloud
LC08_024037_20200423,Cloud
LC09_024037_20220811,Cloud
LC09_024037_20230118,Cloud/Missing
LC08_024038_20151104,Cloud
LE07_024038_20151128,Cloud/Missing
LC08_024038_20180621,Cloud
LE07_024038_20211230,Cloud
LC08_024038_20221209,Cloud
LE07_024039_20160131,Cloud
LE07_024039_20171101,Cloud
LE07_024039_20180120,Cloud
LC08_024039_20180317,Cloud
LC08_024039_20180402,Cloud
LE07_024039_20180901,Cloud
LC08_024039_20180925,Cloud
LC08_024039_20190131,Cloud
LT05_024040_19841013,Cloud
LT05_024040_19900624,Cloud
LT05_024040_20111008,Cloud
LC08_024040_20131013,Cloud
LC08_024040_20151104,Cloud
LC08_024040_20160107,Cloud
LE07_024040_20160131,Cloud
LC08_024040_20160428,Cloud
LC08_024040_20160514,Cloud
LC08_024040_20160818,Cloud
LC08_024040_20160919,Cloud
LC08_024040_20161005,Cloud
LE07_024040_20161029,Cloud
LC08_024040_20170210,Cloud
LC08_024040_20170602,Cloud
LC08_024040_20170805,Cloud
LE07_024040_20170813,Cloud
LC08_024040_20170906,Cloud
LC08_024040_20171109,Shadow
LE07_024040_20180120,Cloud
LC08_024040_20180402,Cloud
LC08_024040_20180418,Cloud
LC08_024040_20180707,Cloud
LC08_024040_20180723,Cloud
LC08_024040_20180909,Cloud
LC08_024040_20180925,Cloud/Missing
LC08_024040_20190131,Cloud
LC08_024040_20190523,Cloud
LC08_024040_20190710,Cloud
LC08_024040_20191030,Cloud
LE07_024040_20191209,Cloud
LC08_024040_20200407,Cloud
LC08_024040_20200525,Cloud
LC08_024040_20200712,Cloud
LE07_024040_20201125,CLoud/Missing
LC08_024040_20210325,Cloud/Missing
LC08_024040_20210426,Cloud
LC08_024040_20210629,Cloud
LC08_024040_20210715,Cloud
LC08_024040_20210731,Cloud
LC08_024040_20210901,Cloud
LE07_024040_20211112,Cloud
LC09_024040_20211214,Cloud
LC09_024040_20220304,Cloud
LC08_024040_20220328,Cloud
LC08_024040_20220429,Cloud
LC09_024040_20220507,Cloud
LC08_024040_20221022,Cloud
LC08_024040_20221107,Cloud
LC09_024040_20230102,Cloud
LC09_024040_20230219,Cloud
LC09_024040_20230323,Cloud
LC08_024040_20230331,Cloud
LC08_024040_20230603,Cloud
LC09_024040_20230611,Cloud
LC08_024040_20230705,Cloud
LC09_024040_20230729,Cloud
LC09_024040_20231220,Cloud
LC08_024040_20240301,Cloud
LC09_024040_20240410,Cloud
LC08_025026_20180916,Cloud/Missing
LC08_025026_20200804,Cloud
LE07_025026_20200913,Cloud
LC08_025026_20211026,Cloud
LC08_025026_20220927,Cloud
LE07_025027_20210916,Cloud/Missing
LC08_025027_20211026,Cloud
LC09_025027_20231008,Cloud
LC08_025027_20231219,Cloud/Missing
LC09_025027_20231227,Cloud/Snow
LC08_025027_20240205,Cloud/Snow/Missing
LC09_025027_20240519,Cloud
LT05_025028_20030331,Cloud/Snow
LT05_025028_20040113,Cloud/Snow
LT05_025028_20040129,Cloud/Snow
LT05_025028_20040214,Cloud/Snow
LT05_025028_20041214,Cloud/Snow
LE07_025028_20041222,Cloud/Snow
LE07_025028_20050107,Cloud/Snow
LT05_025028_20050115,Cloud/Snow
LT05_025028_20050216,Cloud/Snow
LE07_025028_20050312,Cloud/Snow
LT05_025028_20050320,Cloud/Snow
LE07_025028_20051209,Cloud/Snow
LC08_025028_20180511,Cloud/Cirrus
LC08_025028_20180831,Cloud
LC08_025028_20190717,Cloud/Cirrus
LC08_025028_20230829,Cloud
LC09_025028_20231024,Cloud/Snow/Missing
LC09_025028_20231109,Cloud
LC09_025028_20240519,Cloud
LC08_025029_20151010,Cloud/Cirrus
LC08_025029_20160910,Cloud
LE07_025029_20200913,Cloud
LC08_025030_20190327,Cloud/Cirrus
LC08_025030_20191224,Cloud/Cirrus
LC08_025030_20221130,Cloud/Snow
LC08_025030_20240221,Cloud/Cirrus
LC08_025031_20191224,Cloud/Cirrus
LC08_025031_20200109,Cloud/Missing
LC08_025031_20200516,Cloud/Cirrus
LC08_025032_20160130,Cloud/Cirrus
LC08_025032_20170828,Cloud
LC08_025032_20180815,Cloud
LE07_025033_20191130,Cloud/Missing
LC08_025034_20170201,Cloud/Cirrus
LE07_025034_20180316,Cloud/Missing
LE07_025035_20160817,Cloud
LC08_025035_20161215,Cirrus
LE07_025035_20170905,Cloud/Cirrus
LC09_025035_20230109,Cirrus
LC08_025035_20230306,Cloud/Cirrus
LE07_025036_20190607,Cloud
LC09_025036_20230109,Cloud/Cirrus
LC09_025036_20230415,Cloud
LE07_025037_20160614,Cloud/Missing
LE07_025037_20180316,Cloud
LC08_025037_20190223,Cloud/Missing
LE07_025037_20190522,Cloud
LE07_025037_20190607,Cloud
LC08_025037_20190615,Cloud
LE07_025037_20210916,Cloud
LE07_025037_20211002,Cloud
LC08_025038_20161129,Cloud/Missing
LE07_025038_20180316,Cloud
LE07_025038_20180401,Cloud
LE07_025038_20180908,Cloud
LE07_025038_20190522,Cloud
LE07_025038_20200727,Cloud
LC09_025038_20231024,Cloud
LC08_025039_20160215,Cloud
LE07_025039_20160223,Cloud/Missing
LC08_025039_20161129,Cloud
LC08_025039_20170201,Cloud
LE07_025039_20180401,Cloud
LE07_025039_20190404,Cloud/Missing
LE07_025039_20200508,Cloud
LC08_025039_20211010,Cloud
LC09_025039_20220514,Cloud
LC09_025039_20220903,Cloud
LC09_025039_20221106,Cloud
LC08_025039_20230914,Cloud/Missing
LC09_025039_20231109,Cloud
LE07_025040_20001024,Cloud/Missing
LE07_025040_20150409,Cloud
LC08_025040_20150519,Cloud
LC08_025040_20160215,Cloud
LC08_025040_20160318,Cloud
LC08_025040_20160521,Cloud/Missing
LC08_025040_20160926,Cloud
LE07_025040_20161020,Cloud
LC08_025040_20170201,Cloud
LE07_025040_20170430,Cloud
LC08_025040_20171116,Cloud
LE07_025040_20180401,Cloud
LE07_025040_20180503,Cloud/Missing
LE07_025040_20200305,Cloud
LE07_025040_20200508,Cloud
LE07_025040_20200524,Cloud
LE07_025040_20210204,Cloud
LE07_025040_20210527,Cloud
LE07_025040_20210916,Cloud
LC08_025040_20211010,Cloud
LC08_025040_20211026,Cloud/Missing
LC08_025040_20211111,Cloud/Missing
LC09_025040_20220106,Cloud
LC09_025040_20220514,Cloud
LC09_025040_20220903,Cloud/Missing
LC09_025040_20221106,Cloud
LC08_025040_20230101,Cloud
LC09_025040_20231109,Cloud
LC09_025040_20240503,Cloud/Missing
LC08_026026_20160512,Cloud
LC08_026026_20160917,Cloud/Missing
LE07_026026_20190513,Cloud
LE07_026026_20200803,Cloud
LC08_026027_20150526,Cloud/Cirrus
LC08_026027_20160512,Cloud
LE07_026027_20200803,Cloud
LE07_026028_20201107,Cloud/Snow
LE07_026028_20210806,Cloud
LC08_026028_20211204,Cloud/Cirrus
LT05_026029_20050106,Cloud/Snow
LE07_026029_20050114,Cloud/Snow
LT05_026029_20050122,Cloud/Snow
LT05_026029_20050223,Cloud/Snow
LC08_026029_20181126,Cloud
LC08_026029_20220716,Cloud
LC09_026030_20220419,Cloud/Cirrus
LE07_026031_20201022,Cloud/Missing
LC09_026031_20230116,Cloud/Snow/Missing
LC08_026032_20150611,Cloud
LC08_026032_20161222,Cloud/Snow/Cirrus
LC09_026032_20221129,Cloud
LC08_026032_20230430,Cloud
LE07_026033_20190716,Cloud
LC09_026033_20211228,Cloud/Missing
LC08_026034_20160901,Cloud
LE07_026034_20190716,Cloud
LC08_026034_20220817,Cloud
LC08_026034_20240111,Cloud/Cirrus
LC08_026035_20151220,Cloud
LE07_026035_20160214,Cloud/Snow/Missing
LC08_026036_20160426,Cloud
LC08_026036_20200726,Cloud
LC09_026036_20220809,Cloud
LT05_026037_19920510,Cloud/Missing
LE07_026037_20160317,Cloud/Missing
LC08_026037_20160426,Cloud
LC08_026037_20160613,Cloud/Missing
LC08_026037_20190214,Cloud/Weird
LC08_026037_20190521,Cloud
LE07_026038_20150331,Cloud/Missing
LC08_026038_20160426,Cloud
LC08_026038_20170803,Cloud
LE07_026038_20180219,Cloud/Missing
LC08_026038_20190214,Cloud/Cirrus
LC08_026038_20190521,Cloud/Missing
LC08_026038_20220222,Cloud/Missing
LC08_026039_20160121,Cloud/Missing
LC08_026039_20191215,Cloud
LC08_026039_20231023,Cloud
LC08_026039_20231108,Cloud
LE07_026040_20150331,Cloud
LC08_026040_20150510,Cloud/Missing
LC08_026040_20160410,Cloud
LC08_026040_20160512,Cloud
LC08_026040_20161222,Cloud/Missing
LE07_026040_20170115,Cloud
LE07_026040_20180219,Cloud/Missing
LC08_026040_20180227,Cloud
LE07_026040_20191105,Cloud
LC08_026040_20191215,Cloud
LE07_026040_20200515,Cloud
LC08_026040_20210510,Cloud
LE07_026040_20211228,Cloud
LC09_026040_20221028,Cloud/Missing
LC08_026040_20221207,Cloud
LC08_026041_20150424,Cloud/Missing
LC08_026041_20160426,Cloud/Missing
LC08_026041_20180227,Cloud
LE07_026041_20210331,Cloud/Missing
LE07_026041_20211228,Cloud
LC09_026041_20220505,Cloud/Missing
LC08_026041_20240111,Cloud
LC08_026041_20240416,Cloud/Cirrus/Missing
LC08_026042_20140624,Cloud
LC08_026042_20140912,Cloud
LE07_026042_20170928,Cloud/Missing
LC08_026042_20190302,Cloud
LC08_026042_20210323,Cloud
LC08_026042_20240111,Cloud
LC08_026042_20240416,Cloud/Cirrus/Missing
LC08_027026_20220925,Cloud
LE07_027027_20050918,Cloud/Missing
LE07_027027_20170701,Cloud
LC08_027027_20170927,Cloud
LE07_027027_20190909,Cloud/Snow/Missing
LC08_027027_20220520,Cloud
LE07_027028_20150712,Cloud/Missing
LC08_027028_20210314,Cloud/Weird
LC08_027028_20220824,Cloud/Missing
LT05_027029_20041228,Cloud/Snow
LE07_027029_20160916,Cloud/Missing
LC08_027029_20220824,Cloud
LC08_027029_20231014,Cloud/Missing
LC08_027029_20240219,Cloud/Snow
LC08_027030_20160807,Cloud
LE07_027030_20180501,Cloud/Missing
LE07_027030_20200623,Cloud
LC08_027030_20201208,Cloud/Cirrus/Missing
LC08_027030_20231014,Cloud/Missing
LE07_027031_20031015,Cloud/Missing
LT05_027031_20050113,Cloud/Snow
LC08_027031_20151125,Cloud/Snow/Missing
LC08_027031_20171013,Cloud/Missing
LE07_027031_20180501,Cloud/Missing
LC09_027031_20240211,Cloud
LE07_027033_20141130,Cloud/Cirrus/Missing
LC09_027033_20211116,Cloud/Cirrus
LE07_027034_20181008,Cloud/Snow/Missing
LC08_027034_20181117,Cloud/Cirrus
